date,number,winners,page,pédantix,pedantix,cémantix,cemantix,is_holiday,visitor,difficulty_mean,difficulty_std
2022-07-01,49,19621,Bombardements atomiques d'Hiroshima et de Nagasaki,5.0,21.0,10.0,55.0,False,,0.8017132544768626,0.14065171182357364
2022-07-02,50,17410,Degré Fahrenheit,0.0,16.0,9.0,65.0,False,,0.910900965076927,0.09943184112405444
2022-07-03,51,15868,Pollution de l'eau,4.0,17.0,9.0,75.0,False,,0.7892491900012487,0.14939974098105716
2022-07-04,52,20897,Bibliothèque nationale de France,4.0,20.0,12.0,71.0,False,,0.8033992873931022,0.11140053694962243
2022-07-05,53,19055,Fièvre du Nil occidental,4.0,24.0,11.0,55.0,False,,0.7623311026224436,0.09120242580259191
2022-07-06,54,20490,Baseball,5.0,18.0,12.0,53.0,True,,0.8611909595075178,0.13232625580573423
2022-07-07,55,18687,Université Yale,5.0,21.0,9.0,49.0,True,,0.8164516090572917,0.08157803422103754
2022-07-08,56,15596,Psychologie analytique,4.0,21.0,14.0,67.0,True,,0.7260853272789485,0.09737222787628425
2022-07-09,57,11713,Ciment,4.0,15.0,5.0,68.0,True,,0.7459921508314264,0.07963961003825396
2022-07-10,58,14039,Utopie,0.0,16.0,9.0,69.0,True,,0.8134018374251987,0.11479852799480679
2022-07-11,59,20204,Squelette humain,6.0,21.0,9.0,43.0,True,,0.8306399990833113,0.10295489474187
2022-07-12,60,22021,Animal de compagnie,5.0,17.0,11.0,68.0,True,,0.8693915567843779,0.12478412712909075
2022-07-13,61,18729,Karaté,4.5,19.5,9.0,54.0,True,,0.8119046898862212,0.10433243039769699
2022-07-14,62,17499,Rugby à XV,0.0,22.0,6.0,57.0,True,,0.7624303713296461,0.08991260383469765
2022-07-15,63,13444,Dessalement,4.0,25.0,7.0,56.0,True,,0.6380711964179588,0.0742430065177706
2022-07-16,64,14820,Plongée sous-marine,0.0,17.0,12.0,74.0,True,,0.8702317721140085,0.11367974458231024
2022-07-17,65,15196,Relativité restreinte,0.0,18.0,9.0,80.0,True,,0.8410369763425495,0.16350044456941534
2022-07-18,66,18338,Alpinisme,7.0,25.0,11.0,79.0,True,,0.7612109555395762,0.1179244035010845
2022-07-19,67,20155,Manchester,5.0,22.0,16.0,88.0,True,,0.8438560968227207,0.11799954772252193
2022-07-20,68,19522,Guerre anglo-zouloue,4.0,28.0,11.0,68.0,True,,0.8330852731701087,0.10800877465381631
2022-07-21,69,19508,David Lloyd George,7.0,24.0,8.0,56.0,True,,0.8076567304234046,0.10783203370849548
2022-07-22,70,17002,Navire de ligne,6.0,26.0,11.0,70.0,True,,0.7719729314748678,0.08837213596383366
2022-07-23,71,11375,Mexico-Tenochtitlan,6.0,21.0,7.0,79.0,True,,0.7112187818838063,0.08034758532441401
2022-07-24,72,13989,Abbas Kiarostami,7.0,24.0,7.0,60.0,True,,0.8055432703789662,0.13969934576040194
2022-07-25,73,18178,Xénon,7.0,27.0,11.0,72.0,True,,0.7610708398382554,0.10273826484642688
2022-07-26,74,14851,Adivasis,5.0,26.0,9.0,62.0,True,,0.6484750947863347,0.08214673414891248
2022-07-27,75,17202,Gdańsk,3.0,25.0,12.0,74.0,True,,0.7418695900983153,0.11836404396604831
2022-07-28,76,20597,Eau de Javel,5.0,19.0,14.0,83.0,True,,0.8396504301866599,0.1371155821779194
