date,number,winners,page,pédantix,pedantix,cémantix,cemantix,is_holiday
2023-05-12,364,13695,Charrue,12.0,30.0,14.0,79.0,False
2023-05-13,365,10832,Arc (arme),9.0,24.0,8.0,88.0,False
2023-05-14,366,8459,Tantrisme,15.0,29.0,7.0,67.0,False
2023-05-15,367,13392,General Electric,17.0,44.0,9.0,61.0,False
2023-05-16,368,15869,François Rabelais,12.0,35.0,14.0,69.0,False
2023-05-17,369,13722,Publicité,13.0,35.0,15.0,55.0,False
2023-05-18,370,10093,Balance (instrument),0.0,30.0,8.0,54.0,False
2023-05-19,371,9763,Trouble anxieux,10.0,31.0,10.0,57.0,False
2023-05-20,372,8670,Transistor,11.0,34.0,10.0,72.0,False
2023-05-21,373,9744,Héraldique,11.0,29.0,10.0,57.0,False
2023-05-22,374,11898,Variable aléatoire à densité,13.0,37.0,14.0,74.0,False
2023-05-23,375,16975,Mont Kenya,8.0,31.0,6.0,56.0,False
2023-05-24,376,13852,Roch Hachana,10.0,41.0,13.0,62.0,False
2023-05-25,377,12677,Temple de Borobudur,11.0,35.0,14.0,70.0,False
2023-05-26,378,15335,Front de l'Est (Seconde Guerre mondiale),11.0,33.0,10.0,68.0,False
2023-05-27,379,9608,Pierre de Rosette,0.0,21.0,7.0,74.0,False
2023-05-28,380,8729,Angiosperme,14.0,23.0,9.0,62.0,False
2023-05-29,381,13224,Grégoire Ier,7.0,22.0,7.0,43.0,False
2023-05-30,382,12218,Particule matérielle,13.0,40.0,8.0,66.0,False
2023-05-31,383,17437,Liban,8.0,35.0,13.0,61.0,False
2023-06-01,384,15693,Aurore polaire,10.0,24.0,10.0,68.0,False
2023-06-02,385,11855,Blizzard (météorologie),12.0,35.0,12.0,78.0,False
2023-06-03,386,9473,Puissance (physique),7.0,24.0,9.0,77.0,False
2023-06-04,387,8995,Habitat (écologie),0.0,21.0,8.0,86.0,False
2023-06-05,388,11010,Transformations de Lorentz,20.0,49.0,10.0,74.0,False
2023-06-06,389,11914,Transformateur électrique,12.0,38.0,11.0,56.0,False
2023-06-07,390,13331,Rayonnement du corps noir,10.0,36.0,13.0,70.0,False
2023-06-08,391,10857,Diagramme de phase,18.0,38.0,8.0,54.0,False
2023-06-09,392,13624,Troie,12.0,30.0,12.0,62.0,False
2023-06-10,393,8023,Livre de Kells,7.0,27.0,10.0,45.0,False
2023-06-11,394,11396,Psychose (film),12.0,25.0,10.0,73.0,False
2023-06-12,395,12954,Principe de relativité,9.0,36.0,10.0,84.0,False
2023-06-13,396,15909,Vercingétorix,9.0,27.0,18.0,69.0,False
2023-06-14,397,11992,Méthanal,7.0,35.0,8.0,71.0,False
2023-06-15,398,14602,James Bond,10.0,33.0,12.0,65.0,False
2023-06-16,399,14770,Judo,7.0,32.0,0.0,56.0,False
2023-06-17,400,9830,Dubaï (ville),0.0,29.0,7.0,65.0,False
2023-06-18,401,11285,Nintendo,8.0,25.0,0.0,79.0,False
2023-06-19,402,13819,Zhou Enlai,14.0,32.0,6.0,65.0,False
2023-06-20,403,12669,Linux,12.0,29.0,12.0,74.0,False
2023-06-21,404,12746,Charia,12.0,36.0,12.0,61.0,False
2023-06-22,405,12446,Électrostatique,11.0,43.0,0.0,56.0,False
2023-06-23,406,13576,Accouchement,8.0,32.0,0.0,54.0,False
2023-06-24,407,6890,Assembleur,0.0,34.0,0.0,59.0,False
2023-06-25,408,10139,Extinction Crétacé-Paléogène,0.0,33.0,0.0,56.0,False
2023-06-26,409,14125,Dynastie Ming,11.0,31.0,7.0,58.0,False
2023-06-27,410,15331,Livre de la Genèse,9.0,27.0,7.0,49.0,False
2023-06-28,411,16538,Guyane,14.0,37.0,11.0,59.0,False
2023-06-29,412,12238,Loi normale,15.0,35.0,12.0,66.0,False
2023-06-30,413,9735,Ghetto,17.0,35.0,11.0,69.0,False
2023-07-01,414,6689,Productivité,9.0,26.0,7.0,63.0,False
2023-07-02,415,10670,John Keats,9.0,23.0,7.0,57.0,False
2023-07-03,416,16354,Venise,11.0,23.0,13.0,67.0,False
2023-07-04,417,12333,Polynôme,19.0,37.0,8.0,63.5,False
2023-07-05,418,13399,Kareem Abdul-Jabbar,9.0,35.0,8.0,55.0,False
2023-07-06,419,14631,Central Park,9.0,25.0,13.0,66.0,False
2023-07-07,420,10702,Ea (divinité),13.0,37.0,8.0,71.0,False
2023-07-08,421,9403,Premiers Hommes modernes en Europe,7.0,24.0,7.0,54.0,True
2023-07-09,422,10208,BBC,15.0,38.0,0.0,56.0,True
2023-07-10,423,16209,Guillaume le Conquérant,12.0,36.0,9.0,69.0,True
2023-07-11,424,11188,Théorie des représentations,14.0,38.0,8.0,66.0,True
2023-07-12,425,17265,Los Angeles,0.0,35.0,9.0,62.0,True
2023-07-13,426,14409,Guépard,12.0,34.0,14.0,81.0,True
2023-07-14,427,9030,Bollywood,9.0,25.0,12.0,81.0,True
2023-07-15,428,9975,Dragon de Komodo,0.0,21.0,0.0,51.0,True
2023-07-16,429,10172,Henry Fielding,8.0,29.0,0.0,60.0,True
2023-07-17,430,11952,Sassanides,14.0,39.0,11.0,72.0,True
2023-07-18,431,12274,Risorgimento,8.0,31.0,11.0,78.0,True
2023-07-19,432,12447,Université de Kyoto,6.0,44.0,17.0,70.0,True
2023-07-20,433,12246,Roms,11.0,34.0,0.0,81.0,True
2023-07-21,434,13616,Cour internationale de justice,12.0,34.0,15.0,69.0,True
2023-07-22,435,8426,Acide aminé,0.0,18.0,0.0,51.0,True
2023-07-23,436,11648,Glucose,13.0,23.0,11.0,73.0,True
2023-07-24,437,14699,Opéra de Sydney,9.0,36.0,12.0,66.0,True
2023-07-25,438,10352,Coelacanthiformes,15.0,37.0,8.0,61.0,True
2023-07-26,439,14751,Guerre du Péloponnèse,11.0,28.0,8.0,57.0,True
2023-07-27,440,13177,Mauna Loa,12.0,32.0,0.0,82.0,True
2023-07-28,441,15894,Berlin,0.0,23.0,14.0,83.0,True
2023-07-29,442,8115,Goutte (maladie),11.0,28.0,8.0,69.0,True
2023-07-30,443,12493,Naufrage du Titanic,8.0,31.0,10.0,80.0,True
2023-07-31,444,12955,Analyse vectorielle,9.0,25.0,13.0,76.0,True
2023-08-01,445,15614,Amour (fleuve),10.0,37.0,10.0,84.0,True
2023-08-02,446,10850,Bahaïsme,12.0,45.0,8.0,61.0,True
2023-08-03,447,12067,Scoutisme,14.0,31.0,9.0,74.0,True
2023-08-04,448,12517,Imagerie par résonance magnétique,11.0,39.0,12.0,98.0,True
2023-08-05,449,9285,Nitrate d'ammonium,0.0,22.0,11.0,100.0,True
2023-08-06,450,12959,Îles Canaries,7.0,23.0,0.0,72.0,True
2023-08-07,451,14594,Gibraltar,0.0,29.0,12.0,77.0,True
2023-08-08,452,13838,Social-démocratie,8.0,37.0,10.0,71.0,True
2023-08-09,453,11370,Brasage,8.0,41.0,9.0,76.0,True
2023-08-10,454,14053,Kazan,8.0,29.0,13.0,86.0,True
2023-08-11,455,10968,Rio Paraná,10.0,36.0,0.0,63.0,True
2023-08-12,456,11008,Physique nucléaire,0.0,26.0,11.0,78.0,True
2023-08-13,457,9804,Enregistrement sonore,9.0,32.0,9.0,73.0,True
2023-08-14,458,13172,Mandarin (langue),10.0,22.0,7.0,57.0,True
2023-08-15,459,8630,Huángdì,12.0,25.0,6.0,78.0,True
2023-08-16,460,14061,Orang-outan,9.0,34.0,7.0,88.0,True
2023-08-17,461,12373,Curium,11.0,41.0,7.0,74.0,True
2023-08-18,462,15080,Histoire de l'Afrique du Sud,11.0,30.0,10.0,69.0,True
2023-08-19,463,9053,Ménopause,8.0,38.0,9.0,73.0,True
2023-08-20,464,13294,Indochine française,0.0,33.0,8.0,60.0,True
2023-08-21,465,14895,Tomate,9.0,30.0,7.0,67.0,True
2023-08-22,466,13480,Groupe sanguin,10.0,30.0,16.0,90.0,True
2023-08-23,467,13319,Hypothèse de la nébuleuse,15.0,39.0,7.0,81.0,True
2023-08-24,468,18165,Équateur (pays),8.0,33.0,14.0,89.0,True
2023-08-25,469,16059,Attentats du 11 septembre 2001,7.0,25.0,12.0,69.0,True
2023-08-26,470,10363,Cinéma russe et soviétique,10.0,30.0,8.0,57.0,True
2023-08-27,471,14069,Haïti,0.0,29.0,12.0,66.0,True
2023-08-28,472,18369,Sénégal,9.0,28.0,11.0,80.0,True
2023-08-29,473,14979,Johannes Vermeer,11.0,28.0,7.0,61.0,True
2023-08-30,474,14434,Attila,11.0,33.0,13.0,83.0,True
2023-08-31,475,13984,Haruki Murakami,8.0,37.0,15.0,69.0,True
2023-09-01,476,15164,Bogota,7.0,35.0,13.0,85.0,True
2023-09-02,477,7967,Mystères d'Éleusis,0.0,25.0,0.0,54.0,True
2023-09-03,478,14439,Chicago,0.0,23.0,9.0,57.0,True
2023-09-04,479,12291,Fichier informatique,11.0,32.0,8.0,59.0,True
2023-09-05,480,15507,Seconde guerre italo-éthiopienne,12.0,33.0,0.0,73.0,False
2023-09-06,481,13806,Acide acétique,9.0,39.0,8.0,71.0,False
2023-09-07,482,16787,Orque,10.0,33.0,13.0,65.0,False
2023-09-08,483,11400,Teotihuacan,10.0,33.0,11.0,65.0,False
2023-09-09,484,9430,Conventions de Genève,0.0,22.0,18.0,67.0,False
2023-09-10,485,8791,Déterminant (mathématiques),8.0,31.0,7.0,63.0,False
2023-09-11,486,11314,Transformation de Laplace,17.0,37.0,9.0,56.0,False
2023-09-12,487,15708,Suzanne Lenglen,10.0,25.0,10.0,72.0,False
2023-09-13,488,15806,Odin,9.0,31.0,0.0,61.0,False
2023-09-14,489,15603,Morse (animal),13.0,25.0,9.0,63.0,False
2023-09-15,490,11611,Équations de Maxwell,14.0,35.0,12.0,65.0,False
2023-09-16,491,11197,Poisson rouge,9.0,21.0,12.0,53.0,False
2023-09-17,492,12566,Anubis,13.0,21.0,0.0,49.0,False
2023-09-18,493,14113,Guerres d'indépendance hispano-américaines,13.0,50.0,16.0,84.0,False
2023-09-19,494,15245,Secte,16.0,46.0,18.0,75.0,False
2023-09-20,495,16404,Course d'orientation,11.0,36.0,9.0,53.0,False
2023-09-21,496,15178,Saturn V,10.0,46.0,11.0,74.0,False
2023-09-22,497,16674,Macédoine du Nord,11.0,31.0,15.0,74.0,False
2023-09-23,498,10374,Vodka,7.0,23.0,0.0,60.0,False
2023-09-24,499,14739,Athènes,0.0,23.0,0.0,69.0,False
2023-09-25,500,18818,Rotterdam,13.0,27.0,13.0,68.0,False
2023-09-26,501,13522,Cactaceae,12.0,36.0,15.0,58.0,False
2023-09-27,502,14445,Moment d'inertie,15.0,45.0,12.0,63.0,False
2023-09-28,503,13465,Quartz (minéral),13.0,50.0,19.0,86.0,False
2023-09-29,504,16724,Victoria (reine),8.0,31.0,12.0,63.0,False
2023-09-30,505,9466,Castes en Inde,10.0,25.0,7.0,63.0,False
2023-10-01,506,12782,Dromadaire,8.5,21.5,9.0,53.5,False
2023-10-02,507,13397,Kumbh Mela,10.0,38.0,12.0,67.5,False
2023-10-03,508,14180,Intrication quantique,10.0,30.0,14.0,71.0,False
2023-10-04,509,13447,Élite,14.0,39.0,9.0,59.0,False
2023-10-05,510,12914,Quaker,11.0,37.0,14.0,50.0,False
2023-10-06,511,13756,Martin Heidegger,13.0,34.0,16.0,71.0,False
2023-10-07,512,8995,Trouble bipolaire,0.0,22.0,12.0,52.0,False
2023-10-08,513,10419,Mouvement social,7.0,20.0,7.0,56.0,False
2023-10-09,514,15559,Tianjin,10.0,33.0,11.0,57.0,False
2023-10-10,515,14078,Grand collisionneur de hadrons,14.0,35.0,15.0,67.0,False
2023-10-11,516,15399,Infarctus du myocarde,8.0,36.0,8.0,64.0,False
2023-10-12,517,19687,Côte d'Ivoire,13.0,28.0,13.0,59.0,False
2023-10-13,518,15591,Biathlon,13.0,33.0,13.0,62.0,False
2023-10-14,519,9602,Charbon de bois,7.0,25.0,10.0,56.0,False
2023-10-15,520,8345,Optimisation linéaire,13.0,28.0,7.0,43.0,False
2023-10-16,521,15568,Homéopathie,13.0,33.0,14.0,71.0,False
2023-10-17,522,13011,Parallélisme (informatique),12.0,42.0,8.0,60.0,False
2023-10-18,523,20492,Histoire de l'aviation,12.0,32.0,16.0,67.0,False
2023-10-19,524,20298,Martinique,12.0,34.0,13.0,73.0,False
2023-10-20,525,14129,Ethernet,16.0,32.0,11.0,62.0,False
2023-10-21,526,8736,Aphidoidea,6.0,29.0,7.0,58.0,True
2023-10-22,527,12273,Fantasy,7.0,25.0,8.0,63.0,True
2023-10-23,528,18439,Foudre,15.0,43.0,12.0,59.0,True
2023-10-24,529,20402,Boxe,11.0,31.0,11.0,50.0,True
2023-10-25,530,17069,Torture,13.0,39.0,16.0,71.0,True
2023-10-26,531,14046,Expérience de la goutte d'huile de Millikan,12.0,43.0,11.0,66.0,True
2023-10-27,532,18844,Coupe du monde de rugby à XV,7.0,30.0,15.0,74.0,True
2023-10-28,533,9313,Cellulose,8.0,21.0,7.0,51.0,True
2023-10-29,534,12673,Machine,12.0,20.0,11.0,64.0,True
2023-10-30,535,17280,Révolution russe de 1905,0.0,24.0,14.0,66.0,True
2023-10-31,536,16387,Skateboard,6.0,30.0,15.0,56.0,True
2023-11-01,537,11607,Plomberie,7.0,29.0,8.0,54.0,True
2023-11-02,538,18868,Vitesse du son,7.0,32.0,9.0,69.0,True
2023-11-03,539,17664,Oslo,0.0,26.0,6.0,54.0,True
2023-11-04,540,14286,Lion,6.0,24.0,0.0,69.0,True
2023-11-05,541,14057,Histoire de l'Éthiopie,0.0,23.0,6.0,59.0,True
2023-11-06,542,19815,Histoire du Pakistan,7.0,35.0,10.0,63.0,True
2023-11-07,543,18590,Babylone,6.0,31.0,21.0,83.0,False
2023-11-08,544,15983,Typhus,14.0,27.0,18.0,73.0,False
2023-11-09,545,19954,Programme Apollo,9.0,32.0,12.0,66.0,False
2023-11-10,546,15633,Cristal,13.0,38.0,13.0,62.0,False
2023-11-11,547,13060,Shanghai,7.0,17.0,7.0,60.0,False
2023-11-12,548,15215,Shiva,9.0,23.0,9.0,58.0,False
2023-11-13,549,20843,Martin Luther King,13.0,31.0,14.0,73.0,False
2023-11-14,550,21589,Sarajevo,10.0,31.0,14.0,66.0,False
2023-11-15,551,15064,Mouvement Massorti,17.0,42.0,14.0,66.0,False
2023-11-16,552,20422,Toyota,12.0,38.0,11.0,52.0,False
2023-11-17,553,14912,Université de Heidelberg,16.0,37.0,14.0,64.0,False
2023-11-18,554,11441,Fission nucléaire,8.0,26.0,10.0,64.0,False
2023-11-19,555,16168,Calcium,0.0,21.0,8.0,48.0,False
2023-11-20,556,14997,Spin,16.0,52.0,17.0,100.0,False
2023-11-21,557,17722,Magnitude (astronomie),18.0,39.0,19.0,69.0,False
2023-11-22,558,19631,Loi de probabilité,12.0,38.0,12.0,71.0,False
2023-11-23,559,19687,Porto Alegre,8.0,26.0,17.0,65.0,False
2023-11-24,560,13568,Série de Fourier,14.0,40.0,18.0,75.0,False
2023-11-25,561,12595,Guerre civile russe,0.0,20.0,8.0,52.0,False
2023-11-26,562,14161,Shabbat,8.0,24.0,14.0,62.0,False
2023-11-27,563,21107,Religion de la Rome antique,13.0,35.0,11.0,56.0,False
2023-11-28,564,21702,Torah,13.0,29.0,14.0,60.0,False
2023-11-29,565,17622,Nabla,13.0,44.0,16.0,67.0,False
2023-11-30,566,19179,Mont Saint Helens,0.0,36.0,11.0,63.0,False
2023-12-01,567,13066,Anasazis,13.0,34.0,15.0,78.0,False
2023-12-02,568,13983,Racine carrée,0.0,21.0,8.0,53.0,False
2023-12-03,569,14954,Musée de l'Ermitage,7.0,22.0,8.0,60.0,False
2023-12-04,570,19824,Johannes Brahms,11.0,33.0,14.0,49.0,False
2023-12-05,571,16388,Yahweh,12.0,38.0,14.0,72.0,False
2023-12-06,572,18514,Symbolisme (art),11.0,42.0,16.0,61.0,False
2023-12-07,573,17472,Rubik's Cube,15.0,34.0,19.0,75.0,False
2023-12-08,574,18532,Sous-marin,12.0,31.0,14.0,76.0,False
2023-12-09,575,11476,Shinkansen,11.0,18.0,9.0,58.0,False
2023-12-10,576,15994,Panthère des neiges,7.0,21.0,7.0,72.0,False
2023-12-11,577,17806,Espéranto,14.0,33.0,10.0,59.0,False
2023-12-12,578,19397,Récif corallien,10.0,32.0,10.0,61.0,False
2023-12-13,579,20505,Impressionnisme,10.0,29.0,14.0,69.0,False
2023-12-14,580,16694,État-providence,8.0,36.0,11.0,84.0,False
2023-12-15,581,13243,Royaume lagide,10.0,50.0,17.0,62.0,False
2023-12-16,582,11454,Agence spatiale européenne,0.0,24.0,0.0,65.0,False
2023-12-17,583,9222,Bryophyte,0.0,31.0,8.0,65.0,False
2023-12-18,584,19618,Jaguar,9.0,34.0,13.0,69.0,False
2023-12-19,585,17998,Titane,8.0,29.0,10.0,53.0,False
2023-12-20,586,16477,Programme Voyager,10.0,30.0,12.0,62.0,False
2023-12-21,587,11555,Biais de confirmation,12.0,46.0,17.0,72.0,False
2023-12-22,588,13637,Lydie,10.0,40.0,9.0,78.0,False
2023-12-23,589,10329,Oreillons,9.0,29.0,0.0,65.0,True
2023-12-24,590,11650,Usain Bolt,0.0,24.0,7.0,56.0,True
2023-12-25,591,11202,Pied (unité),8.0,32.0,8.0,69.0,True
2023-12-26,592,10150,Capteur,10.0,37.0,7.0,62.0,True
2023-12-27,593,12980,Cuisine mexicaine,0.0,36.0,0.0,82.0,True
2023-12-28,594,12623,Chameau de Bactriane,8.0,33.0,10.0,79.0,True
2023-12-29,595,15438,Vatican,7.0,30.0,9.0,75.0,True
2023-12-30,596,8534,Monisme,14.0,37.0,11.0,68.0,True
2023-12-31,597,11899,Histoire du Maroc,10.0,26.0,7.0,72.5,True
2024-01-01,598,11925,Huître,0.0,24.0,9.0,70.0,True
2024-01-02,599,14267,Chaîne Transantarctique,0.0,39.0,6.0,65.0,True
2024-01-03,600,19737,Amérique latine,9.0,30.0,0.0,63.0,True
2024-01-04,601,17566,Crimée,7.0,34.0,10.0,82.0,True
2024-01-05,602,13155,Réalisme (philosophie),12.0,36.0,9.0,60.0,True
2024-01-06,603,12705,Yom Kippour,0.0,28.0,11.0,59.0,True
2024-01-07,604,15489,Travail des enfants,9.0,24.0,0.0,47.0,True
2024-01-08,605,17470,Droit international public,14.0,38.0,11.0,57.0,True
2024-01-09,606,15507,Río de la Plata,13.0,43.0,18.0,84.0,False
2024-01-10,607,19953,Aphrodite,7.0,27.0,17.0,95.0,False
2024-01-11,608,18298,Argon,8.0,31.0,19.0,72.0,False
2024-01-12,609,19760,Alaska,7.0,45.0,15.0,100.0,False
2024-01-13,610,13340,Camps de concentration nazis,0.0,26.0,9.0,78.0,False
2024-01-14,611,10947,Écriture maya,10.0,33.0,8.0,53.0,False
2024-01-15,612,18270,Armand Jean du Plessis de Richelieu,9.0,53.0,20.0,97.0,False
2024-01-16,613,19686,Carl Lewis,12.0,36.0,14.0,78.0,False
2024-01-17,614,22154,Las Vegas,9.0,27.0,14.0,77.0,False
2024-01-18,615,14551,Soufisme,14.0,45.0,15.0,85.0,False
2024-01-19,616,15396,Brevet d'invention,12.0,43.0,13.0,65.0,False
2024-01-20,617,10153,Dualité onde-corpuscule,9.0,30.0,0.0,59.0,False
2024-01-21,618,12282,Botulisme,12.0,28.0,6.0,73.0,False
2024-01-22,619,17376,Technétium,14.0,41.0,14.0,73.0,False
2024-01-23,620,14723,Gymnosperme,15.0,41.0,17.0,78.0,False
2024-01-24,621,20175,Galaxie d'Andromède,9.0,28.0,12.0,74.0,False
2024-01-25,622,18305,Machu Picchu,9.0,37.0,19.0,92.0,False
2024-01-26,623,14713,Al-Andalus,12.0,38.0,18.0,78.0,False
2024-01-27,624,12446,Ispahan,0.0,31.0,7.0,54.0,False
2024-01-28,625,10079,Diffusion de la matière,8.0,23.0,8.0,69.0,False
2024-01-29,626,20298,Numération romaine,15.0,30.0,12.0,69.0,False
2024-01-30,627,17627,Féodalité,13.0,43.0,19.0,67.0,False
2024-01-31,628,15644,Hypertext Markup Language,12.0,47.0,14.0,62.0,False
2024-02-01,629,17105,Lanthanide,15.0,40.0,16.0,53.0,False
2024-02-02,630,19747,Tchad,10.0,28.0,19.0,78.0,False
2024-02-03,631,12291,Commerce triangulaire,12.0,25.0,10.0,76.0,False
2024-02-04,632,12807,Rotation (physique),14.0,23.0,9.0,77.0,False
2024-02-05,633,19812,Réunification allemande,14.0,49.0,15.0,67.0,False
2024-02-06,634,20190,Caïn,8.0,36.0,17.0,67.0,False
2024-02-07,635,23680,Louis IX,8.0,35.0,15.0,89.0,False
2024-02-08,636,17484,Moment cinétique,9.0,40.0,18.0,73.0,False
2024-02-09,637,16130,Lèpre,15.0,45.0,17.0,95.0,False
2024-02-10,638,11327,Négationnisme,0.0,30.0,10.0,80.0,True
2024-02-11,639,15766,Césium,9.0,19.0,11.0,88.0,True
2024-02-12,640,16041,Sursaut gamma,13.0,36.0,19.0,82.0,True
2024-02-13,641,22510,Histoire du Canada,12.0,35.0,18.0,68.0,True
2024-02-14,642,19570,Architecture moderne,11.0,43.0,16.0,91.0,True
2024-02-15,643,21787,Ulysse,7.0,29.0,13.0,71.0,True
2024-02-16,644,18093,Architecture romane,15.0,40.0,14.0,65.0,True
2024-02-17,645,14740,Monaco,0.0,20.0,12.0,57.0,True
2024-02-18,646,10211,Faisceau (mathématiques),16.0,24.0,12.0,58.0,True
2024-02-19,647,20978,Wi-Fi,17.0,48.0,18.0,88.0,True
2024-02-20,648,16361,Corruption,18.0,59.0,19.0,60.0,True
2024-02-21,649,20005,Domestication du feu,19.0,46.0,13.0,55.0,True
2024-02-22,650,22002,Parc national de Yellowstone,15.0,40.0,26.0,81.0,True
2024-02-23,651,14747,Énergie interne,8.0,42.0,14.0,70.0,True
2024-02-24,652,10957,Paganisme germanique,10.0,22.0,7.0,73.0,True
2024-02-25,653,14200,Physique statistique,7.0,31.0,0.0,61.0,True
2024-02-26,654,18765,Pure race espagnole,20.0,44.0,12.0,55.0,True
2024-02-27,655,19639,Acupuncture,18.0,36.0,20.0,89.0,True
2024-02-28,656,16869,Alfred North Whitehead,17.0,40.0,10.0,67.0,True
2024-02-29,657,21107,Lithium,8.0,24.0,16.0,56.0,True
2024-03-01,658,15351,Écart type,15.0,35.0,14.0,76.0,True
2024-03-02,659,14136,Seconde (temps),12.0,16.0,8.0,59.0,True
2024-03-03,660,14123,Argumentation,9.0,24.0,13.0,62.0,True
2024-03-04,661,17978,Tikal,15.0,43.0,21.0,88.0,True
2024-03-05,662,22159,Empire carolingien,9.0,40.0,20.0,84.0,True
2024-03-06,663,21490,Planeur,14.0,32.0,15.0,68.0,True
2024-03-07,664,21689,Isis,9.0,30.0,18.0,78.0,True
2024-03-08,665,17787,Denali,11.0,35.0,23.0,75.0,True
2024-03-09,666,11240,Héraclius,11.0,34.0,16.0,87.0,True
2024-03-10,667,14640,Industrie,11.0,32.0,0.0,59.0,True
2024-03-11,668,20050,General Motors,10.0,39.0,20.0,76.0,True
2024-03-12,669,26119,Pyrénées,10.0,39.0,22.0,62.0,False
2024-03-13,670,19528,Louis Riel,11.0,33.0,16.0,72.0,False
2024-03-14,671,18876,Euthanasie,15.0,40.0,25.0,93.0,False
2024-03-15,672,20519,Ozone,12.0,34.0,13.0,58.0,False
2024-03-16,673,13189,Pierre II (empereur du Brésil),0.0,24.0,0.0,53.0,False
2024-03-17,674,17608,Anvers,8.0,22.0,7.0,52.0,False
2024-03-18,675,19071,Alchimie,15.0,32.0,20.0,70.0,False
2024-03-19,676,19556,Spectre visible,17.0,54.0,19.0,81.0,False
2024-03-20,677,15851,Robotique industrielle,19.0,57.0,22.0,90.0,False
2024-03-21,678,19860,Canne à sucre,18.0,46.0,18.0,74.0,False
2024-03-22,679,21446,Tour Eiffel,11.0,42.0,15.0,61.0,False
2024-03-23,680,14322,Arménie,0.0,24.0,0.0,48.0,False
2024-03-24,681,17819,Violoncelle,7.5,15.5,12.0,46.0,False
2024-03-25,682,22764,Acide sulfurique,15.0,34.0,14.0,53.0,False
2024-03-26,683,20485,Tang Taizong,12.0,35.0,11.0,59.0,False
2024-03-27,684,21478,Nouvelle-Calédonie,12.0,31.0,18.0,87.0,False
2024-03-28,685,8881,Gnosticisme,13.0,46.0,18.0,80.0,False
2024-03-29,686,20087,Football américain,8.0,35.0,23.0,100.0,False
2024-03-30,687,14641,Pâques,10.0,18.0,7.0,56.0,False
2024-03-31,688,16542,Arc-en-ciel,0.0,19.0,11.0,70.0,False
2024-04-01,689,13415,Hareng rouge,6.0,25.0,7.0,63.0,False
2024-04-02,690,24721,Californie,10.0,30.0,19.0,64.0,False
2024-04-03,691,25803,C (langage),8.0,40.0,12.0,73.0,False
2024-04-04,692,19583,Urbanisation,13.0,38.0,12.0,58.0,False
2024-04-05,693,21010,Guerre des Gaules,11.0,32.0,12.0,60.0,False
2024-04-06,694,13767,Saint-Marin,0.0,25.0,9.0,57.0,True
2024-04-07,695,12953,Mont Kosciuszko,10.0,19.0,6.0,60.0,True
2024-04-08,696,16371,Civilisation zapotèque,16.0,34.0,18.0,66.0,True
2024-04-09,697,23839,Richard Nixon,11.0,30.0,12.0,60.0,True
2024-04-10,698,20825,Communication non verbale,8.0,36.0,10.0,78.0,True
2024-04-11,699,23529,Moldavie,8.0,40.0,23.0,80.0,True
2024-04-12,700,17147,Intelligence humaine,10.0,31.0,11.0,62.0,True
2024-04-13,701,11784,Opéra de Pékin,9.0,22.0,8.0,46.0,True
2024-04-14,702,15519,Université de Cambridge,6.0,23.0,8.0,51.0,True
2024-04-15,703,24182,Zimbabwe,15.0,35.0,9.0,65.0,True
2024-04-16,704,22014,Salomon (roi d'Israël),11.0,32.0,13.0,43.0,True
2024-04-17,705,19215,Identité d'Euler,11.0,30.0,16.0,67.0,True
2024-04-18,706,20803,Fièvre jaune,7.0,29.0,14.0,71.0,True
2024-04-19,707,20432,Hockey sur glace,14.0,35.0,10.0,61.0,True
2024-04-20,708,12384,Rijksmuseum Amsterdam,7.0,21.0,7.0,55.0,True
2024-04-21,709,17247,Guerre américano-mexicaine,0.0,20.0,11.0,52.0,True
2024-04-22,710,20071,Aubergine,11.0,37.0,13.0,60.0,True
2024-04-23,711,23862,Guerre d'Irak,11.0,28.0,14.0,76.0,True
2024-04-24,712,20620,David (Michel-Ange),7.0,31.0,17.0,76.0,True
2024-04-25,713,24627,Écosse,7.0,25.0,9.0,64.0,True
2024-04-26,714,21175,Kyoto,8.0,32.0,12.0,62.0,True
2024-04-27,715,13265,Maison de Médicis,11.0,25.0,10.0,66.0,True
2024-04-28,716,19186,Zeus,7.0,20.0,10.0,55.0,True
2024-04-29,717,20400,Travail,10.0,30.0,12.0,64.0,True
2024-04-30,718,20719,Pollution de l'air,16.0,34.0,13.0,71.0,False
2024-05-01,719,14649,Hangeul,10.0,22.0,8.0,54.0,False
2024-05-02,720,20346,Accident de la route,11.0,32.0,19.0,62.0,False
2024-05-03,721,20064,Buenos Aires,11.0,28.0,12.0,57.0,False
2024-05-04,722,14160,Dynasties du Sud et du Nord,6.0,21.0,8.0,52.0,False
2024-05-05,723,16895,Adverbe,8.0,19.0,6.0,54.0,False
2024-05-06,724,16350,"Théodora (impératrice, épouse de Justinien Ier)",16.0,30.0,15.0,63.0,False
2024-05-07,725,12927,Homologie (mathématiques),13.0,26.0,7.0,48.0,False
2024-05-08,726,11061,Influence sociale,12.0,25.0,7.0,44.0,False
2024-05-09,727,16495,Histoire de France,7.0,20.0,0.0,32.0,False
2024-05-10,728,12467,Tunnel,12.0,25.0,9.0,53.0,False
2024-05-11,729,12761,Guerre soviéto-polonaise,9.0,17.0,0.0,53.0,False
2024-05-12,730,15569,Horus,7.0,22.0,8.0,60.0,False
2024-05-13,731,18618,Université de Tokyo,13.0,32.0,11.0,50.0,False
